brand,units_sold,revenue
GreenValley,4962,6782179.23
PurePlus,5021,6753821.19
ZestyCo,4757,6517786.08
QuickBite,4890,6511005.53
EverydayPlus,4399,6434131.64
SoftTouch,4720,6428334.89
TrueTaste,4428,6234766.88
FamilyChoice,4820,6217985.45
NovaFresh,4690,6181451.63
CityFresh,5058,6139463.06
SmartBuy,4656,6110065.37
SparkleClean,4626,6094795.38
FreshFarm,5207,5924118.89
CleanWave,4651,5857882.45
NutriPlus,4609,5772731.46
HomeStyle,4493,5733516.57
UrbanBite,4365,5651091.58
MetroBrand,4907,5648934.0
PremiumSelect,3972,5623988.65
BasicNeeds,4149,5596496.62
DailyBest,4280,5523221.98
GoldenHarvest,4335,5453774.15
HealthFirst,4053,5402933.52
PrimeCare,3957,5289715.58
EliteHome,4498,5107533.25
NatureBlend,4091,5105964.96
ValueChoice,3771,4967355.52
SunriseFoods,3530,4812912.6
PureLife,3796,4642674.12
CrispKing,3622,4614717.63
