date,units_sold,revenue
2025-01-01,293,383817.92
2025-01-02,484,635664.36
2025-01-03,278,417938.36
2025-01-04,352,538433.63
2025-01-05,418,597863.04
2025-01-06,329,449582.38
2025-01-07,417,531536.3
2025-01-08,508,687507.96
2025-01-09,353,467663.27
2025-01-10,474,479470.08
2025-01-11,541,753361.2
2025-01-12,481,644008.62
2025-01-13,417,643848.06
2025-01-14,365,557203.71
2025-01-15,337,389666.72000000003
2025-01-16,427,459420.33999999997
2025-01-17,255,390637.71
2025-01-18,435,531541.47
2025-01-19,556,659342.58
2025-01-20,281,368683.0
2025-01-21,480,596713.04
2025-01-22,548,793936.63
2025-01-23,367,434863.76
2025-01-24,414,502677.33999999997
2025-01-25,326,392312.76
2025-01-26,412,469779.58
2025-01-27,461,498486.58999999997
2025-01-28,309,407897.38
2025-01-29,366,467915.35
2025-01-30,359,500857.76
2025-01-31,523,818140.83
2025-02-01,501,653499.12
2025-02-02,499,593649.52
2025-02-03,432,494080.67
2025-02-04,369,544104.95
2025-02-05,345,500395.28
2025-02-06,458,473735.74
2025-02-07,457,544927.28
2025-02-08,521,768112.1799999999
2025-02-09,489,659043.1
2025-02-10,393,524630.85
2025-02-11,312,448097.13
2025-02-12,505,708993.85
2025-02-13,436,538265.65
2025-02-14,318,416857.84
2025-02-15,524,502578.87
2025-02-16,637,951207.61
2025-02-17,366,431689.81
2025-02-18,321,440477.03
2025-02-19,507,802996.86
2025-02-20,463,537713.84
2025-02-21,345,416330.19
2025-02-22,405,582123.61
2025-02-23,536,670367.05
2025-02-24,487,533424.4
2025-02-25,306,430141.81
2025-02-26,395,421525.78
2025-02-27,547,608455.93
2025-02-28,315,396374.99
2025-03-01,600,712471.65
2025-03-02,561,618629.67
2025-03-03,458,512116.14
2025-03-04,253,317775.89
2025-03-05,386,492576.41
2025-03-06,343,416016.48
2025-03-07,411,486221.61
2025-03-08,284,425628.05
2025-03-09,510,649914.33
2025-03-10,324,399238.06
2025-03-11,277,324213.63
2025-03-12,461,670413.41
2025-03-13,570,724729.59
2025-03-14,335,413288.55
2025-03-15,465,622262.71
2025-03-16,576,811615.71
2025-03-17,543,639711.63
2025-03-18,299,426102.08
2025-03-19,484,684109.07
2025-03-20,411,541146.01
2025-03-21,344,411392.73
2025-03-22,358,462084.04
2025-03-23,252,382629.17
2025-03-24,379,550972.88
2025-03-25,465,503041.85
2025-03-26,444,373169.37
2025-03-27,497,687058.13
2025-03-28,508,737621.84
2025-03-29,579,824834.6599999999
2025-03-30,367,440955.58999999997
2025-03-31,419,657134.33
2025-04-01,469,671643.01
2025-04-02,672,922187.03
2025-04-03,385,544755.77
2025-04-04,421,514396.52999999997
2025-04-05,538,771604.28
2025-04-06,444,591367.85
2025-04-07,456,611028.01
2025-04-08,565,708780.36
2025-04-09,361,564989.48
2025-04-10,449,590931.42
2025-04-11,521,658832.2
2025-04-12,441,494155.2
2025-04-13,511,535171.5599999999
2025-04-14,437,589176.54
2025-04-15,568,857636.29
2025-04-16,441,641422.18
2025-04-17,366,543206.75
2025-04-18,324,393947.77999999997
2025-04-19,286,297690.33
2025-04-20,393,426491.34
2025-04-21,319,425213.41
2025-04-22,428,566192.01
2025-04-23,412,552802.26
2025-04-24,425,536741.51
2025-04-25,336,426504.66
2025-04-26,462,620415.67
2025-04-27,279,451763.91000000003
2025-04-28,433,591725.0
2025-04-29,378,510026.31
2025-04-30,532,796636.9
2025-05-01,397,472465.49
2025-05-02,456,624049.18
2025-05-03,586,730996.1
2025-05-04,282,280225.05
2025-05-05,561,798778.65
2025-05-06,514,545691.99
2025-05-07,502,675359.3
2025-05-08,444,585726.09
2025-05-09,381,637173.99
2025-05-10,326,400052.53
2025-05-11,410,610321.2
2025-05-12,476,673714.02
2025-05-13,478,686771.35
2025-05-14,530,690244.02
2025-05-15,499,630404.1
2025-05-16,756,937049.86
2025-05-17,498,602555.29
2025-05-18,541,595918.94
2025-05-19,419,505919.68
2025-05-20,293,350356.37
2025-05-21,565,798432.54
2025-05-22,401,529040.34
2025-05-23,578,725955.7
2025-05-24,643,761099.0
2025-05-25,622,725104.09
2025-05-26,536,760776.9
2025-05-27,372,516781.93
2025-05-28,181,245045.11000000002
2025-05-29,334,488676.38
2025-05-30,375,468232.68
2025-05-31,582,741788.09
2025-06-01,572,750103.59
2025-06-02,382,500639.84
2025-06-03,571,732629.23
2025-06-04,360,558942.58
2025-06-05,365,410352.33999999997
2025-06-06,349,464062.14
2025-06-07,726,946042.9199999999
2025-06-08,619,820413.63
2025-06-09,428,541517.66
2025-06-10,488,705463.98
2025-06-11,467,529679.74
2025-06-12,421,496973.01
2025-06-13,602,853169.52
2025-06-14,413,593139.41
2025-06-15,501,525327.12
2025-06-16,358,387282.57
2025-06-17,374,567671.86
2025-06-18,644,821676.16
2025-06-19,449,617644.4500000001
2025-06-20,321,434970.65
2025-06-21,690,853923.0
2025-06-22,518,567901.84
2025-06-23,374,493576.75
2025-06-24,450,624918.72
2025-06-25,297,461492.82
2025-06-26,412,500982.52
2025-06-27,348,504621.89
2025-06-28,446,588302.28
2025-06-29,561,899333.83
2025-06-30,447,654055.27
2025-07-01,436,753787.79
2025-07-02,228,280116.74
2025-07-03,508,592248.64
2025-07-04,313,318400.75
2025-07-05,502,602791.66
2025-07-06,515,500333.56
2025-07-07,458,638665.17
2025-07-08,406,470251.57
2025-07-09,330,396375.01
2025-07-10,378,580674.11
2025-07-11,293,421497.05
2025-07-12,451,474653.36
2025-07-13,396,473755.28
2025-07-14,414,487211.8
2025-07-15,401,500946.52
2025-07-16,365,441764.88
2025-07-17,426,452303.02
2025-07-18,619,789322.09
2025-07-19,400,574785.54
2025-07-20,537,701423.7
2025-07-21,322,341055.05
2025-07-22,341,280599.75
2025-07-23,327,409102.27
2025-07-24,426,622729.23
2025-07-25,505,714753.54
2025-07-26,567,718159.43
2025-07-27,509,673009.09
2025-07-28,410,428811.75
2025-07-29,399,481628.68
2025-07-30,292,382147.24
2025-07-31,262,297096.76
2025-08-01,406,564619.42
2025-08-02,410,492365.31
2025-08-03,375,407367.58
2025-08-04,508,569527.44
2025-08-05,574,760434.44
2025-08-06,435,679976.43
2025-08-07,488,582923.87
2025-08-08,414,513738.95
2025-08-09,387,641854.04
2025-08-10,467,617664.98
2025-08-11,389,419660.2
2025-08-12,470,549156.14
2025-08-13,495,720974.9
2025-08-14,334,490041.55
2025-08-15,594,810886.52
2025-08-16,503,614015.71
2025-08-17,528,854425.97
2025-08-18,469,637957.57
2025-08-19,409,640418.88
2025-08-20,483,703316.67
