sku_id,avg_stock,avg_reorder,avg_safety,stockout_count,critical_count,sku_name,category,brand
SKU02381,0.0,53.73076923076923,18.807692307692307,26,26,SoftTouch Storage & Containers Small,Home & Kitchen,SoftTouch
SKU02660,0.0,54.88461538461539,20.576923076923077,26,26,HomeStyle Biscuits & Cookies Family Pack,Snacks & Confectionery,HomeStyle
SKU03030,2.074074074074074,54.55555555555556,19.814814814814813,26,26,MetroBrand Chips & Crisps 500ml,Snacks & Confectionery,MetroBrand
SKU00996,5.851851851851852,64.77777777777777,23.37037037037037,25,26,MetroBrand Pest Control 1kg,Home Care,MetroBrand
SKU00002,0.0,63.28,22.92,25,25,CrispKing Bread Family Pack,Dairy & Bakery,CrispKing
SKU00190,0.0,57.84,19.8,25,25,ZestyCo Writing Instruments 1L,Stationery & Office,ZestyCo
SKU00264,8.576923076923077,64.0,22.0,25,25,PurePlus Energy Drinks 500g,Beverages,PurePlus
SKU00484,0.0,56.32,18.76,25,25,PurePlus Hair Care 2L,Personal Care,PurePlus
SKU01152,0.0,65.84,22.72,25,25,FamilyChoice Skin Care 1L,Personal Care,FamilyChoice
SKU01466,0.0,67.32,25.16,25,25,BasicNeeds Chips & Crisps Pack of 12,Snacks & Confectionery,BasicNeeds
SKU03057,0.0,64.4,20.44,25,25,SoftTouch Writing Instruments 1kg,Stationery & Office,SoftTouch
SKU04126,2.423076923076923,53.11538461538461,17.96153846153846,25,25,CrispKing Kids Wear Medium,Apparel & Footwear,CrispKing
SKU01021,0.0,74.08333333333333,24.666666666666668,24,24,EverydayPlus First Aid 2L,Health & Wellness,EverydayPlus
SKU01170,0.0,55.75,19.583333333333332,24,24,TrueTaste Hair Care 250ml,Personal Care,TrueTaste
SKU01414,0.0,61.125,20.875,24,24,CityFresh Notebooks 2L,Stationery & Office,CityFresh
SKU01578,0.0,64.95833333333333,23.333333333333332,24,24,TrueTaste Ice Cream 250ml,Frozen Foods,TrueTaste
SKU01751,6.8,60.88,20.0,24,24,SmartBuy Frozen Vegetables Family Pack,Frozen Foods,SmartBuy
SKU02046,0.0,60.5,19.583333333333332,24,24,ValueChoice Footwear Pack of 6,Apparel & Footwear,ValueChoice
SKU02268,11.64,62.44,22.88,24,24,NovaFresh Butter & Ghee 100g,Dairy & Bakery,NovaFresh
SKU02484,6.68,63.52,23.04,24,24,MetroBrand Frozen Meat Medium,Frozen Foods,MetroBrand
SKU02531,0.0,66.66666666666667,25.0,24,24,MetroBrand Bottled Water 100g,Beverages,MetroBrand
SKU02833,5.72,58.12,21.28,24,24,QuickBite Kids Wear Large,Apparel & Footwear,QuickBite
SKU03476,0.0,61.125,21.416666666666668,24,24,CleanWave Mobile Accessories 1kg,Electronics & Accessories,CleanWave
SKU03578,0.0,55.708333333333336,18.916666666666668,24,24,ZestyCo Ready Meals 1L,Frozen Foods,ZestyCo
SKU03743,0.0,61.75,19.583333333333332,24,24,PremiumSelect Air Fresheners 500g,Home Care,PremiumSelect
SKU03870,0.0,60.083333333333336,20.791666666666668,24,24,MetroBrand Mobile Accessories 250g,Electronics & Accessories,MetroBrand
SKU03907,0.0,57.666666666666664,21.208333333333332,24,24,QuickBite Home Decor 1L,Home & Kitchen,QuickBite
SKU04157,2.32,77.48,25.52,24,24,PremiumSelect Small Appliances 1L,Electronics & Accessories,PremiumSelect
SKU04315,3.48,60.32,20.8,24,24,HealthFirst Laundry Small,Home Care,HealthFirst
SKU04362,0.56,61.96,21.44,24,24,PurePlus Ice Cream 500ml,Frozen Foods,PurePlus
SKU04783,0.0,62.541666666666664,22.291666666666668,24,24,PureLife Cookware 250g,Home & Kitchen,PureLife
SKU03171,1.36,62.32,24.4,23,24,PrimeCare Tea 100g,Beverages,PrimeCare
SKU00020,0.0,59.04347826086956,21.652173913043477,23,23,SmartBuy Rice & Grains 2L,Grocery,SmartBuy
SKU00254,3.2916666666666665,51.291666666666664,17.708333333333332,23,23,HomeStyle Writing Instruments 1L,Stationery & Office,HomeStyle
SKU00363,0.0,58.30434782608695,19.043478260869566,23,23,CityFresh Home Decor 2L,Home & Kitchen,CityFresh
SKU00376,3.1666666666666665,55.5,17.833333333333332,23,23,UrbanBite Milk 1kg,Dairy & Bakery,UrbanBite
SKU00500,4.166666666666667,62.458333333333336,22.125,23,23,UrbanBite Home Decor Family Pack,Home & Kitchen,UrbanBite
SKU00539,3.0,54.666666666666664,19.041666666666668,23,23,PremiumSelect Air Fresheners Pack of 12,Home Care,PremiumSelect
SKU00929,7.125,61.666666666666664,22.166666666666668,23,23,TrueTaste Surface Cleaners 1kg,Home Care,TrueTaste
SKU01138,0.0,67.0,24.26086956521739,23,23,SoftTouch Chips & Crisps 250ml,Snacks & Confectionery,SoftTouch
SKU01153,0.0,61.391304347826086,21.0,23,23,GreenValley Mobile Accessories 1kg,Electronics & Accessories,GreenValley
SKU01274,0.0,63.130434782608695,23.130434782608695,23,23,ValueChoice Small Appliances Family Pack,Electronics & Accessories,ValueChoice
SKU01317,5.916666666666667,65.25,23.25,23,23,TrueTaste First Aid 2kg,Health & Wellness,TrueTaste
SKU01370,0.0,60.52173913043478,20.52173913043478,23,23,PurePlus Laundry 2L,Home Care,PurePlus
SKU01507,4.5,63.25,21.791666666666668,23,23,CleanWave Home Decor Pack of 6,Home & Kitchen,CleanWave
SKU01685,8.416666666666666,50.041666666666664,17.375,23,23,FamilyChoice Skin Care Large,Personal Care,FamilyChoice
SKU02176,0.0,54.47826086956522,18.782608695652176,23,23,CleanWave Footwear Family Pack,Apparel & Footwear,CleanWave
SKU02247,0.0,55.21739130434783,17.91304347826087,23,23,CityFresh Writing Instruments 2L,Stationery & Office,CityFresh
SKU02355,3.8333333333333335,58.291666666666664,21.208333333333332,23,23,EverydayPlus Spices & Seasoning Medium,Grocery,EverydayPlus
SKU02449,6.125,61.916666666666664,20.791666666666668,23,23,EverydayPlus Notebooks 2kg,Stationery & Office,EverydayPlus
SKU02526,1.4583333333333333,54.625,19.625,23,23,CleanWave Vitamins & Supplements Pack of 12,Health & Wellness,CleanWave
SKU02737,1.625,49.416666666666664,17.791666666666668,23,23,BasicNeeds Notebooks 1kg,Stationery & Office,BasicNeeds
SKU02892,0.0,60.69565217391305,21.434782608695652,23,23,CityFresh Cheese 2kg,Dairy & Bakery,CityFresh
SKU03199,0.0,68.30434782608695,22.82608695652174,23,23,QuickBite Coffee 500ml,Beverages,QuickBite
SKU03274,6.833333333333333,63.958333333333336,22.125,23,23,PremiumSelect Hair Care 250ml,Personal Care,PremiumSelect
SKU04016,11.28,57.04,19.04,23,23,HealthFirst Small Appliances 1kg,Electronics & Accessories,HealthFirst
SKU04329,0.0,53.391304347826086,20.0,23,23,SoftTouch Cookware 2kg,Home & Kitchen,SoftTouch
SKU04350,0.0,61.130434782608695,20.304347826086957,23,23,NutriPlus Skin Care 250g,Personal Care,NutriPlus
SKU04453,0.0,56.04347826086956,20.434782608695652,23,23,TrueTaste Milk 2L,Dairy & Bakery,TrueTaste
SKU04551,3.875,66.75,23.916666666666668,23,23,DailyBest Cookware Small,Home & Kitchen,DailyBest
SKU02462,0.21739130434782608,55.30434782608695,17.695652173913043,22,23,DailyBest Notebooks 2L,Stationery & Office,DailyBest
SKU02954,0.43478260869565216,57.30434782608695,19.0,22,23,GoldenHarvest Air Fresheners 2L,Home Care,GoldenHarvest
SKU03353,0.043478260869565216,53.17391304347826,20.08695652173913,22,23,EverydayPlus Cheese 100g,Dairy & Bakery,EverydayPlus
SKU04562,0.5652173913043478,52.78260869565217,18.869565217391305,22,23,SoftTouch Footwear 250g,Apparel & Footwear,SoftTouch
SKU00169,0.0,50.18181818181818,17.136363636363637,22,22,DailyBest Office Supplies 500ml,Stationery & Office,DailyBest
SKU00416,0.0,55.18181818181818,20.40909090909091,22,22,CityFresh Namkeen 1L,Snacks & Confectionery,CityFresh
SKU00506,4.434782608695652,58.17391304347826,19.47826086956522,22,22,SmartBuy Frozen Vegetables 500g,Frozen Foods,SmartBuy
