store_id,store_name,city,store_type,units_sold,revenue
ST22,Islamabad Hypermarket #22,Islamabad,Hypermarket,5089,6592635.25
ST11,Islamabad Supermarket #11,Islamabad,Supermarket,5107,6554610.99
ST07,Peshawar Hypermarket #07,Peshawar,Hypermarket,4776,6396150.15
ST30,Multan Hypermarket #30,Multan,Hypermarket,4669,6387562.82
ST01,Quetta Convenience Store #01,Quetta,Convenience Store,4772,6293331.82
ST16,Lahore Convenience Store #16,Lahore,Convenience Store,4774,6202313.87
ST02,Islamabad Express Store #02,Islamabad,Express Store,4853,6170231.37
ST14,Sialkot Supermarket #14,Sialkot,Supermarket,4373,6150219.2700000005
ST04,Multan Supermarket #04,Multan,Supermarket,4480,6131035.32
ST24,Gujranwala Convenience Store #24,Gujranwala,Convenience Store,4821,6102690.21
ST18,Karachi Supermarket #18,Karachi,Supermarket,4717,6073655.29
ST23,Sukkur Convenience Store #23,Sukkur,Convenience Store,4505,5944528.32
ST20,Multan Hypermarket #20,Multan,Hypermarket,4653,5885794.07
ST12,Hyderabad Convenience Store #12,Hyderabad,Convenience Store,4593,5826118.64
ST19,Sialkot Convenience Store #19,Sialkot,Convenience Store,4249,5800261.47
ST29,Karachi Hypermarket #29,Karachi,Hypermarket,4390,5686743.92
ST17,Faisalabad Supermarket #17,Faisalabad,Supermarket,4210,5648621.27
ST10,Rawalpindi Convenience Store #10,Rawalpindi,Convenience Store,4208,5603679.61
ST28,Karachi Supermarket #28,Karachi,Supermarket,4422,5603065.5
ST26,Lahore Convenience Store #26,Lahore,Convenience Store,4244,5500762.9
ST09,Karachi Supermarket #09,Karachi,Supermarket,4517,5453266.19
ST13,Multan Convenience Store #13,Multan,Convenience Store,4267,5445601.11
ST25,Quetta Convenience Store #25,Quetta,Convenience Store,4028,5395185.1
ST03,Sialkot Supermarket #03,Sialkot,Supermarket,4247,5348806.97
ST05,Karachi Supermarket #05,Karachi,Supermarket,4231,5294423.55
ST08,Quetta Supermarket #08,Quetta,Supermarket,4075,5262425.46
ST06,Sukkur Hypermarket #06,Sukkur,Hypermarket,4138,5235702.65
ST27,Rawalpindi Supermarket #27,Rawalpindi,Supermarket,4058,5185847.58
ST21,Peshawar Hypermarket #21,Peshawar,Hypermarket,4067,5130993.19
ST15,Islamabad Convenience Store #15,Islamabad,Convenience Store,3780,4829086.0
