sku_id,units_sold,revenue,sku_name,category,brand
SKU02998,145,55819.2,NutriPlus Cookware Pack of 12,Home & Kitchen,NutriPlus
SKU02614,136,312844.88,FamilyChoice Sugar & Salt Family Pack,Grocery,FamilyChoice
SKU03952,131,223733.59,CityFresh Notebooks Large,Stationery & Office,CityFresh
SKU03434,130,68872.7,ZestyCo Milk Medium,Dairy & Bakery,ZestyCo
SKU03847,128,37843.2,FamilyChoice Pulses & Lentils Small,Grocery,FamilyChoice
SKU02208,125,243811.25,SoftTouch Biscuits & Cookies Small,Snacks & Confectionery,SoftTouch
SKU04463,124,299963.44,NovaFresh Men's Wear 1L,Apparel & Footwear,NovaFresh
SKU03837,124,166734.12,GoldenHarvest Eggs 500ml,Dairy & Bakery,GoldenHarvest
SKU02018,124,194820.12,DailyBest Home Decor 100g,Home & Kitchen,DailyBest
SKU01908,124,146715.56,SmartBuy Small Appliances Small,Electronics & Accessories,SmartBuy
