week,units_sold,revenue
2024-12-30/2025-01-05,1825,2573717.31
2025-01-06/2025-01-12,3103,4013129.81
2025-01-13/2025-01-19,2792,3631660.59
2025-01-20/2025-01-26,2828,3558966.11
2025-01-27/2025-02-02,3018,3940446.55
2025-02-03/2025-02-09,3071,3984399.2
2025-02-10/2025-02-16,3125,4090631.8
2025-02-17/2025-02-23,2943,3881698.39
2025-02-24/2025-03-02,3211,3721024.23
2025-03-03/2025-03-09,2645,3300248.91
2025-03-10/2025-03-16,3008,3965761.66
2025-03-17/2025-03-23,2691,3547174.73
2025-03-24/2025-03-30,3239,4117654.32
2025-03-31/2025-04-06,3348,4673088.8
2025-04-07/2025-04-13,3304,4163888.23
2025-04-14/2025-04-20,2815,3749571.21
2025-04-21/2025-04-27,2661,3579633.43
2025-04-28/2025-05-04,3064,4006124.0300000003
2025-05-05/2025-05-11,3138,4253103.75
2025-05-12/2025-05-18,3778,4816657.58
2025-05-19/2025-05-25,3521,4395907.72
2025-05-26/2025-06-01,2952,3971404.68
2025-06-02/2025-06-08,3372,4433082.68
2025-06-09/2025-06-15,3320,4245270.44
2025-06-16/2025-06-22,3354,4251070.53
2025-06-23/2025-06-29,2888,4073228.81
2025-06-30/2025-07-06,2949,3701734.41
2025-07-07/2025-07-13,2712,3455871.55
2025-07-14/2025-07-20,3162,3947757.55
2025-07-21/2025-07-27,2997,3759408.36
2025-07-28/2025-08-03,2554,3054036.74
2025-08-04/2025-08-10,3273,4366120.15
2025-08-11/2025-08-17,3313,4459160.99
2025-08-18/2025-08-24,3226,4241087.26
2025-08-25/2025-08-31,2947,3712824.66
2025-09-01/2025-09-07,3098,3974054.9
2025-09-08/2025-09-14,2542,3425174.47
2025-09-15/2025-09-21,3127,3728823.82
2025-09-22/2025-09-28,2747,3445538.13
2025-09-29/2025-10-05,2494,3261782.5100000002
2025-10-06/2025-10-12,3781,4778637.88
2025-10-13/2025-10-19,3190,4294712.3
2025-10-20/2025-10-26,3337,4653101.32
2025-10-27/2025-11-02,2850,3936977.36
