feature,data_type,missing_values,unique_values
date,datetime64[us],0,304
sku_id,str,0,4352
store_id,str,0,30
units_sold,float64,0,75
revenue,float64,0,9328
unit_price,float64,0,4316
promo_flag,int64,0,2
year,int32,0,1
month,int32,0,10
day,int32,0,31
month_num,int32,0,10
day_of_month,int32,0,31
day_of_week,int32,0,7
week_of_year,int64,0,44
quarter,int32,0,4
is_weekend,int64,0,2
week,int64,0,44
season,str,0,4
is_holiday,int64,0,2
promo_event,int64,0,2
category,str,0,12
brand,str,0,30
store_name,str,0,30
store_type,str,0,4
city,str,0,12
lag_1,float64,0,40
lag_7,float64,0,39
lag_14,float64,0,39
lag_28,float64,0,39
rolling_mean_7,float64,0,185
rolling_std_7,float64,0,231
rolling_mean_14,float64,0,350
rolling_std_14,float64,0,456
rolling_mean_28,float64,0,672
rolling_std_28,float64,0,911
expanding_mean,float64,0,4530
demand_change_1d,float64,0,44
demand_ratio_1d_7d,float64,0,1
promo_lag_1,float64,0,2
promo_lag_7,float64,0,2
price_lag_1,float64,0,286
price_change,float64,0,1
price_change_pct,float64,0,1
stock_on_hand,float64,0,463
reorder_point,float64,0,82
safety_stock,float64,0,47
stock_vs_reorder,float64,0,482
stock_vs_safety,float64,0,484
below_reorder_point,int64,0,2
below_safety_stock,int64,0,2
stockout_flag,int64,0,2
sku_total_units,float64,0,109
sku_avg_units,float64,0,7158
sku_total_revenue,float64,0,5495
sku_avg_revenue,float64,0,36033
store_total_units,float64,0,4141
store_avg_units,float64,0,38446
store_total_revenue,float64,0,9691
store_avg_revenue,float64,0,40668
category_total_units,float64,0,6759
category_avg_units,float64,0,39802
category_total_revenue,float64,0,9708
brand_total_units,float64,0,4191
brand_avg_units,float64,0,38769
brand_total_revenue,float64,0,9691
flag_count,float64,0,2
stockout_risk_flag,int64,0,2
slow_mover_flag,int64,0,2
