store_id,sku_id,sku_name,category,subcategory,brand,forecast_total_demand,forecast_average_daily_demand,forecast_demand_std,forecast_days,stock_on_hand,reorder_point,safety_stock,days_of_forecast_coverage,stock_above_reorder,stock_above_safety,stockout_risk_flag,overstock_risk_flag,demand_volatility_flag,inventory_status,replenishment_priority,recommended_order_quantity,unit_price,cost_price,inventory_cost_value,inventory_retail_value,estimated_replenishment_cost,estimated_replenishment_retail_value,last_restock_date
ST01,SKU00825,BasicNeeds Energy Drinks Pack of 6,Beverages,Energy Drinks,BasicNeeds,22.43516666666667,22.43516666666667,0.0,1,33.0,69.0,18.0,1.4709050523359901,-36.0,15.0,1,0,0,REORDER,HIGH,36,79.31,54.66,1803.78,2617.23,1967.7599999999998,2855.16,2025-12-14
ST01,SKU01086,PremiumSelect Bath & Body 250ml,Personal Care,Bath & Body,PremiumSelect,15.959333333333332,15.959333333333332,0.0,1,32.0,91.0,35.0,2.0050962863945863,-59.0,-3.0,1,0,0,CRITICAL,HIGH,59,123.82,91.34,2922.88,3962.24,5389.06,7305.379999999999,2025-12-21
ST04,SKU02469,PurePlus Vitamins & Supplements Large,Health & Wellness,Vitamins & Supplements,PurePlus,17.845985714285717,17.845985714285717,0.0,1,45.0,59.0,27.0,2.5215754803601285,-14.0,18.0,1,0,0,REORDER,HIGH,14,1489.36,966.01,43470.45,67021.2,13524.14,20851.039999999997,2025-12-22
ST04,SKU02921,MetroBrand Laundry 250g,Home Care,Laundry,MetroBrand,47.47608095238097,47.47608095238097,0.0,1,36.0,75.0,32.0,0.7582765737573915,-39.0,4.0,1,0,0,REORDER,HIGH,39,319.54,187.85,6762.599999999999,11503.44,7326.15,12462.060000000001,2025-12-10
ST04,SKU04900,HomeStyle Storage & Containers 1kg,Home & Kitchen,Storage & Containers,HomeStyle,12.0318,12.0318,0.0,1,5.0,76.0,19.0,0.41556541830815,-71.0,-14.0,1,0,0,CRITICAL,HIGH,71,1236.82,961.58,4807.900000000001,6184.099999999999,68272.18000000001,87814.22,2025-11-30
ST07,SKU00926,NutriPlus Soft Drinks 1L,Beverages,Soft Drinks,NutriPlus,39.61149206349208,39.61149206349208,0.0,1,23.0,79.0,25.0,0.5806395770988375,-56.0,-2.0,1,0,0,CRITICAL,HIGH,56,285.44,204.55,4704.650000000001,6565.12,11454.800000000001,15984.64,2025-12-24
ST07,SKU03821,CityFresh Air Fresheners Family Pack,Home Care,Air Fresheners,CityFresh,11.986857142857144,11.986857142857144,0.0,1,40.0,75.0,19.0,3.3369881298565094,-35.0,21.0,1,0,0,REORDER,HIGH,35,132.88,87.59,3503.6000000000004,5315.2,3065.65,4650.8,2025-11-06
ST08,SKU04309,HealthFirst Coffee Small,Beverages,Coffee,HealthFirst,4.009666666666667,4.009666666666667,0.0,1,11.0,66.0,25.0,2.7433701887106157,-55.0,-14.0,1,0,0,CRITICAL,HIGH,55,126.84,71.21,783.31,1395.24,3916.5499999999997,6976.2,2025-11-25
ST10,SKU02593,FreshFarm Ready Meals 500g,Frozen Foods,Ready Meals,FreshFarm,13.018238095238091,13.018238095238091,0.0,1,10.0,44.0,19.0,0.7681531038872207,-34.0,-9.0,1,0,0,CRITICAL,HIGH,34,642.49,420.24,4202.4,6424.9,14288.16,21844.66,2025-11-24
ST11,SKU02580,FamilyChoice Pest Control 250g,Home Care,Pest Control,FamilyChoice,10.852933333333334,10.852933333333334,0.0,1,59.0,89.0,26.0,5.436318291828937,-30.0,33.0,1,0,0,REORDER,HIGH,30,389.15,297.28,17539.519999999997,22959.85,8918.4,11674.5,2025-11-02
