store_id,sku_id,sku_name,category,stock_on_hand,reorder_point,safety_stock,forecast_total_demand,forecast_average_daily_demand,forecast_demand_std,days_of_forecast_coverage,demand_variability_ratio,stockout_risk_flag,overstock_risk_flag,demand_volatility_flag,inventory_status,replenishment_priority,recommended_order_quantity
ST01,SKU00825,BasicNeeds Energy Drinks Pack of 6,Beverages,33.0,69.0,18.0,22.43516666666667,22.43516666666667,0.0,1.4709050523359901,0.0,1,0,0,REORDER,HIGH,36
ST01,SKU01086,PremiumSelect Bath & Body 250ml,Personal Care,32.0,91.0,35.0,15.959333333333332,15.959333333333332,0.0,2.0050962863945863,0.0,1,0,0,CRITICAL,HIGH,59
ST04,SKU02469,PurePlus Vitamins & Supplements Large,Health & Wellness,45.0,59.0,27.0,17.845985714285717,17.845985714285717,0.0,2.5215754803601285,0.0,1,0,0,REORDER,HIGH,14
ST04,SKU02921,MetroBrand Laundry 250g,Home Care,36.0,75.0,32.0,47.47608095238097,47.47608095238097,0.0,0.7582765737573915,0.0,1,0,0,REORDER,HIGH,39
ST04,SKU04900,HomeStyle Storage & Containers 1kg,Home & Kitchen,5.0,76.0,19.0,12.0318,12.0318,0.0,0.41556541830815,0.0,1,0,0,CRITICAL,HIGH,71
ST07,SKU00926,NutriPlus Soft Drinks 1L,Beverages,23.0,79.0,25.0,39.61149206349208,39.61149206349208,0.0,0.5806395770988375,0.0,1,0,0,CRITICAL,HIGH,56
ST07,SKU03821,CityFresh Air Fresheners Family Pack,Home Care,40.0,75.0,19.0,11.986857142857144,11.986857142857144,0.0,3.3369881298565094,0.0,1,0,0,REORDER,HIGH,35
ST08,SKU04309,HealthFirst Coffee Small,Beverages,11.0,66.0,25.0,4.009666666666667,4.009666666666667,0.0,2.7433701887106157,0.0,1,0,0,CRITICAL,HIGH,55
ST10,SKU02593,FreshFarm Ready Meals 500g,Frozen Foods,10.0,44.0,19.0,13.018238095238091,13.018238095238091,0.0,0.7681531038872207,0.0,1,0,0,CRITICAL,HIGH,34
ST11,SKU02580,FamilyChoice Pest Control 250g,Home Care,59.0,89.0,26.0,10.852933333333334,10.852933333333334,0.0,5.436318291828937,0.0,1,0,0,REORDER,HIGH,30
ST11,SKU03563,HealthFirst Footwear Small,Apparel & Footwear,13.0,68.0,14.0,2.987,2.987,0.0,4.352192835621024,0.0,1,0,0,CRITICAL,HIGH,55
ST12,SKU01506,GoldenHarvest Candy 2L,Snacks & Confectionery,72.0,91.0,32.0,24.394066666666664,0.554410606060606,3.677543920193135,129.8676454110426,6.6332495807108,1,0,1,REORDER,HIGH,19
ST12,SKU01885,EverydayPlus Office Supplies 1kg,Stationery & Office,31.0,38.0,10.0,7.014666666666667,7.014666666666667,0.0,4.419311917886334,0.0,1,0,0,REORDER,HIGH,7
ST12,SKU03597,GreenValley Laundry 500g,Home Care,22.0,23.0,5.0,16.048700000000004,16.048700000000004,0.0,1.3708275436639725,0.0,1,0,0,REORDER,HIGH,1
ST13,SKU04680,QuickBite Dishwashing 2kg,Home Care,22.0,52.0,13.0,9.023428571428571,9.023428571428571,0.0,2.438097650560446,0.0,1,0,0,REORDER,HIGH,30
ST14,SKU00714,EverydayPlus Men's Wear 2L,Apparel & Footwear,23.0,28.0,11.0,13.8555,13.8555,0.0,1.6599906174443362,0.0,1,0,0,REORDER,HIGH,5
ST15,SKU02649,ValueChoice Batteries Large,Electronics & Accessories,2.0,69.0,15.0,2.008,2.008,0.0,0.9960159362549801,0.0,1,0,0,CRITICAL,HIGH,67
ST15,SKU02863,FamilyChoice Rice & Grains Medium,Grocery,75.0,80.0,34.0,0.0,0.0,0.0,0.0,0.0,1,0,0,REORDER,HIGH,5
ST16,SKU02606,FamilyChoice Home Decor Pack of 12,Home & Kitchen,19.0,30.0,15.0,17.098980952380956,17.098980952380956,0.0,1.1111773299773362,0.0,1,0,0,REORDER,HIGH,11
ST17,SKU01718,GoldenHarvest Men's Wear Pack of 6,Apparel & Footwear,35.0,63.0,21.0,31.424271428571416,31.424271428571416,0.0,1.1137887501880943,0.0,1,0,0,REORDER,HIGH,28
ST17,SKU02488,SunriseFoods Small Appliances Small,Electronics & Accessories,18.0,79.0,36.0,49.35130476190475,49.35130476190475,0.0,0.36473199820837476,0.0,1,0,0,CRITICAL,HIGH,61
ST18,SKU03940,NatureBlend Writing Instruments 2L,Stationery & Office,33.0,42.0,16.0,6.280399999999999,6.280399999999999,0.0,5.254442392204319,0.0,1,0,0,REORDER,HIGH,9
ST19,SKU00338,GoldenHarvest Ready Meals Large,Frozen Foods,1.0,28.0,12.0,3.023,3.023,0.0,0.33079722130334105,0.0,1,0,0,CRITICAL,HIGH,27
ST19,SKU01617,SparkleClean Ice Cream Medium,Frozen Foods,70.0,93.0,31.0,8.996533333333334,8.996533333333334,0.0,7.7807748169665345,0.0,1,0,0,REORDER,HIGH,23
ST19,SKU02433,SmartBuy Eggs 1kg,Dairy & Bakery,24.0,46.0,17.0,18.088438095238097,18.088438095238097,0.0,1.3268143923558642,0.0,1,0,0,REORDER,HIGH,22
ST21,SKU04632,GoldenHarvest Vitamins & Supplements 2L,Health & Wellness,25.0,72.0,33.0,7.009333333333334,7.009333333333334,0.0,3.5666730074186797,0.0,1,0,0,CRITICAL,HIGH,47
ST22,SKU01590,HomeStyle Chocolates 250g,Snacks & Confectionery,47.0,54.0,20.0,49.5326619047619,49.5326619047619,0.0,0.948868851231304,0.0,1,0,0,REORDER,HIGH,7
ST22,SKU02265,DailyBest Hair Care 2L,Personal Care,41.0,60.0,25.0,6.993333333333334,6.993333333333334,0.0,5.862726406101048,0.0,1,0,0,REORDER,HIGH,19
ST22,SKU03955,MetroBrand Pulses & Lentils 500g,Grocery,34.0,37.0,10.0,4.656557142857142,4.656557142857142,0.0,7.301531787740177,0.0,1,0,0,REORDER,HIGH,3
ST23,SKU00623,QuickBite Cooking Oil Small,Grocery,27.0,30.0,6.0,9.125,9.125,0.0,2.958904109589041,0.0,1,0,0,REORDER,HIGH,3
ST24,SKU00076,TrueTaste Butter & Ghee Pack of 12,Dairy & Bakery,33.0,35.0,14.0,16.971,16.971,0.0,1.9444935478168641,0.0,1,0,0,REORDER,HIGH,2
ST25,SKU03943,UrbanBite Bath & Body 2kg,Personal Care,38.0,86.0,34.0,3.007,3.007,0.0,12.637179913535084,0.0,1,0,0,REORDER,HIGH,48
