cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
CUST00001,52,Female,Sukkur,Silver,Online,2021-01-01
CUST00002,41,Female,Karachi,Silver,Mobile App,2021-05-14
CUST00003,48,Female,Bahawalpur,Bronze,In-Store,2022-10-23
CUST00004,45,Male,Karachi,Silver,In-Store,2015-07-15
CUST00005,39,Female,Faisalabad,Bronze,In-Store,2024-01-02
CUST00006,50,Female,Hyderabad,Silver,Online,2022-07-05
CUST00007,32,Female,Rawalpindi,Platinum,In-Store,2020-11-04
CUST00008,38,Male,Peshawar,Silver,In-Store,2021-02-19
CUST00009,25,Male,Lahore,Gold,Mobile App,2024-05-08
CUST00010,26,Female,Abbottabad,Bronze,In-Store,2019-06-03
CUST00011,18,Female,Karachi,Gold,In-Store,2024-10-06
CUST00012,43,Male,Peshawar,Silver,In-Store,2016-01-01
CUST00013,47,Male,Karachi,Bronze,In-Store,2017-10-14
CUST00014,52,Female,Karachi,Silver,Online,2024-10-18
CUST00015,23,Male,Lahore,Bronze,Mobile App,2023-01-31
CUST00016,43,Female,Karachi,Gold,Online,2025-03-25
CUST00017,37,Female,Lahore,Gold,In-Store,2017-01-18
CUST00018,47,Female,Karachi,Bronze,Online,2025-04-20
CUST00019,29,Male,Bahawalpur,Silver,In-Store,2018-03-19
CUST00020,33,Male,Karachi,Bronze,Online,2021-12-14
CUST00021,18,Female,Multan,Bronze,Mobile App,2016-01-14
CUST00022,28,Female,Peshawar,Bronze,Mobile App,2015-09-11
CUST00023,38,Male,Gujranwala,Silver,Online,2019-01-26
CUST00024,40,Female,Islamabad,Gold,Mobile App,2022-01-04
CUST00025,18,Male,Lahore,Platinum,Mobile App,2018-01-12
CUST00026,31,Female,Karachi,Silver,Mobile App,2024-03-05
CUST00027,40,Male,Karachi,Bronze,In-Store,2017-04-05
CUST00028,56,Male,Faisalabad,Silver,In-Store,2025-12-06
CUST00029,27,Male,Multan,Bronze,Mobile App,2023-05-01
CUST00030,44,Female,Gujranwala,Silver,In-Store,2021-03-07
CUST00031,30,Male,Gujranwala,Silver,Online,2018-11-27
CUST00032,32,Female,Hyderabad,Bronze,Online,2018-12-01
CUST00033,26,Female,Karachi,Bronze,In-Store,2015-12-30
CUST00034,24,Female,Sialkot,Bronze,In-Store,2019-12-16
CUST00035,31,Female,Karachi,Bronze,In-Store,2016-12-16
CUST00036,51,Male,Sukkur,Gold,In-Store,2021-04-27
CUST00037,28,Other,Faisalabad,Bronze,Mobile App,2016-04-09
CUST00038,26,Male,Peshawar,Gold,In-Store,2024-01-31
CUST00039,40,Female,Multan,Silver,In-Store,2015-05-28
CUST00040,38,Male,Faisalabad,Bronze,In-Store,2025-05-23
CUST00041,37,Female,Faisalabad,Bronze,In-Store,2025-11-21
CUST00042,41,Female,Bahawalpur,Platinum,In-Store,2017-06-20
CUST00043,24,Female,Islamabad,Silver,In-Store,2024-01-03
