date,store_id,sku_id,units_sold,revenue,unit_price,promo_flag
2025-01-01,ST01,SKU01327,3,852.66,284.22,0
2025-01-01,ST01,SKU02239,5,7669.7,1533.94,0
2025-01-01,ST03,SKU00898,10,3869.6,386.96,0
2025-01-01,ST03,SKU02904,2,3180.18,1590.09,0
2025-01-01,ST04,SKU01443,10,16263.2,1626.32,1
2025-01-01,ST04,SKU03070,4,3734.2,933.55,0
2025-01-01,ST07,SKU00384,8,4778.56,597.32,0
2025-01-01,ST07,SKU02508,2,4108.88,2054.44,0
2025-01-01,ST09,SKU03438,9,22435.11,2492.79,0
2025-01-01,ST10,SKU03832,18,9558.9,531.05,0
2025-01-01,ST10,SKU04026,5,412.5,82.5,0
2025-01-01,ST13,SKU02007,16,12462.08,778.88,0
2025-01-01,ST13,SKU03458,7,5008.85,715.55,0
2025-01-01,ST14,SKU01219,12,15851.76,1320.98,0
2025-01-01,ST16,SKU01987,5,9106.2,1821.24,0
2025-01-01,ST18,SKU00638,19,2617.44,137.76,0
2025-01-01,ST19,SKU01742,3,703.38,234.46,0
2025-01-01,ST19,SKU04497,11,24232.45,2202.95,0
2025-01-01,ST20,SKU00139,4,9459.72,2364.93,0
2025-01-01,ST20,SKU03175,17,19452.42,1144.26,0
2025-01-01,ST21,SKU02583,6,14967.18,2494.53,0
2025-01-01,ST21,SKU03536,11,18494.19,1681.29,0
2025-01-01,ST21,SKU03904,0,0.0,173.96,0
2025-01-01,ST22,SKU00194,11,25822.83,2347.53,0
2025-01-01,ST24,SKU01708,16,7238.24,452.39,0
2025-01-01,ST26,SKU04546,29,41777.4,1440.6,0
2025-01-01,ST27,SKU03607,5,11744.25,2348.85,0
2025-01-01,ST29,SKU03080,26,62487.62,2403.37,0
2025-01-01,ST30,SKU01021,13,21179.86,1629.22,1
2025-01-01,ST30,SKU04613,6,4348.56,724.76,1
2025-01-02,ST01,SKU00036,8,8076.48,1009.56,0
2025-01-02,ST01,SKU03083,12,5349.12,445.76,0
2025-01-02,ST01,SKU04866,10,23068.7,2306.87,0
2025-01-02,ST02,SKU01619,11,13016.85,1183.35,0
2025-01-02,ST02,SKU03834,23,5033.78,218.86,0
2025-01-02,ST02,SKU04300,7,15147.37,2163.91,0
2025-01-02,ST02,SKU04428,15,13196.7,879.78,1
2025-01-02,ST02,SKU04548,43,80155.01,1864.07,1
2025-01-02,ST03,SKU01327,3,852.66,284.22,0
2025-01-02,ST03,SKU01508,0,0.0,732.94,1
2025-01-02,ST03,SKU04949,28,40790.96,1456.82,0
2025-01-02,ST04,SKU00747,13,11972.87,920.99,0
2025-01-02,ST04,SKU03832,9,4779.45,531.05,0
2025-01-02,ST05,SKU01202,4,5765.8,1441.45,0
2025-01-02,ST06,SKU03558,17,17962.03,1056.59,1
2025-01-02,ST07,SKU03091,5,5123.8,1024.76,1
2025-01-02,ST07,SKU04846,3,5420.43,1806.81,1
2025-01-02,ST10,SKU03292,15,36680.4,2445.36,0
2025-01-02,ST10,SKU04419,35,71411.2,2040.32,0
2025-01-02,ST11,SKU00531,2,4735.8,2367.9,0
2025-01-02,ST11,SKU02683,11,12654.51,1150.41,0
2025-01-02,ST12,SKU00299,5,2710.4,542.08,0
2025-01-02,ST12,SKU02317,9,21790.53,2421.17,0
2025-01-02,ST13,SKU04252,18,9784.8,543.6,0
2025-01-02,ST14,SKU04259,10,14379.2,1437.92,1
2025-01-02,ST15,SKU04086,9,6986.61,776.29,0
2025-01-02,ST17,SKU04157,8,10177.12,1272.14,0
2025-01-02,ST20,SKU00773,28,59489.36,2124.62,0
2025-01-02,ST20,SKU04870,7,13795.74,1970.82,0
2025-01-02,ST21,SKU01112,6,643.44,107.24,0
2025-01-02,ST23,SKU00599,4,2317.48,579.37,0
2025-01-02,ST23,SKU02951,26,29144.44,1120.94,0
2025-01-02,ST26,SKU01434,18,21199.5,1177.75,1
2025-01-02,ST26,SKU02020,16,2587.04,161.69,0
2025-01-02,ST28,SKU03754,1,1237.62,1237.62,0
2025-01-02,ST30,SKU01009,13,14663.61,1127.97,0
2025-01-02,ST30,SKU04549,7,1392.3,198.9,1
2025-01-02,ST30,SKU04964,25,42171.25,1686.85,0
2025-01-03,ST01,SKU03025,4,1923.92,480.98,0
2025-01-03,ST03,SKU03748,16,14009.92,875.62,0
2025-01-03,ST04,SKU01909,8,7710.0,963.75,1
2025-01-03,ST06,SKU02903,7,447.3,63.9,0
2025-01-03,ST06,SKU03336,6,12183.0,2030.5,0
2025-01-03,ST06,SKU03894,3,5573.13,1857.71,0
2025-01-03,ST09,SKU03845,6,13500.3,2250.05,0
2025-01-03,ST11,SKU00908,7,16521.4,2360.2,0
2025-01-03,ST11,SKU02148,3,6571.14,2190.38,0
2025-01-03,ST12,SKU01762,26,60243.82,2317.07,0
2025-01-03,ST14,SKU02086,12,15753.72,1312.81,1
2025-01-03,ST16,SKU04603,7,10072.65,1438.95,1
2025-01-03,ST17,SKU01440,3,1812.42,604.14,0
2025-01-03,ST17,SKU02064,2,1551.18,775.59,0
2025-01-03,ST18,SKU04795,11,5504.95,500.45,0
2025-01-03,ST20,SKU01139,8,7569.12,946.14,0
2025-01-03,ST22,SKU04728,10,15606.6,1560.66,0
2025-01-03,ST23,SKU04480,21,52230.78,2487.18,1
2025-01-03,ST24,SKU02719,0,0.0,145.52,0
2025-01-03,ST25,SKU01023,16,39782.08,2486.38,0
2025-01-03,ST25,SKU01099,11,13319.57,1210.87,0
2025-01-03,ST25,SKU03037,5,6871.9,1374.38,0
2025-01-03,ST26,SKU02642,17,7631.47,448.91,0
2025-01-03,ST26,SKU03274,5,4200.05,840.01,0
2025-01-03,ST26,SKU03287,6,13013.82,2168.97,0
2025-01-03,ST26,SKU03388,10,2911.7,291.17,1
2025-01-03,ST27,SKU03025,4,1923.92,480.98,0
2025-01-03,ST27,SKU03335,8,14000.96,1750.12,0
2025-01-03,ST28,SKU03168,10,18526.1,1852.61,1
2025-01-03,ST30,SKU02384,9,16785.9,1865.1,0
2025-01-03,ST30,SKU03724,17,30185.54,1775.62,0
2025-01-04,ST04,SKU04227,16,4889.6,305.6,1
2025-01-04,ST04,SKU04961,7,16741.9,2391.7,0
2025-01-04,ST06,SKU02230,12,25436.16,2119.68,0
2025-01-04,ST06,SKU04536,5,912.5,182.5,1
2025-01-04,ST07,SKU03147,12,26080.8,2173.4,1
2025-01-04,ST08,SKU03197,18,5423.94,301.33,0
2025-01-04,ST08,SKU03254,11,13780.58,1252.78,0
2025-01-04,ST09,SKU01614,12,19140.12,1595.01,0
2025-01-04,ST10,SKU01222,9,10008.45,1112.05,0
2025-01-04,ST13,SKU00271,10,17127.5,1712.75,1
2025-01-04,ST13,SKU02585,10,2214.3,221.43,1
2025-01-04,ST13,SKU02828,36,62172.36,1727.01,0
2025-01-04,ST13,SKU03508,9,13094.73,1454.97,0
2025-01-04,ST14,SKU01336,16,20433.44,1277.09,0
2025-01-04,ST14,SKU01476,20,37327.2,1866.36,0
2025-01-04,ST15,SKU03576,9,20521.26,2280.14,0
2025-01-04,ST17,SKU03892,65,146838.25,2259.05,1
2025-01-04,ST19,SKU04601,17,24254.92,1426.76,1
2025-01-04,ST20,SKU03618,10,5081.6,508.16,0
2025-01-04,ST23,SKU03450,13,20871.11,1605.47,1
2025-01-04,ST23,SKU03621,15,22333.8,1488.92,0
2025-01-04,ST26,SKU00247,1,344.4,344.4,0
2025-01-04,ST26,SKU01698,6,5860.26,976.71,0
2025-01-04,ST26,SKU01882,6,8134.56,1355.76,0
2025-01-04,ST26,SKU03966,7,9409.89,1344.27,0
2025-01-04,ST30,SKU00765,0,0.0,2144.47,0
2025-01-05,ST01,SKU02558,11,3074.61,279.51,0
2025-01-05,ST01,SKU04713,3,2048.94,682.98,0
2025-01-05,ST03,SKU04525,9,16056.72,1784.08,0
2025-01-05,ST05,SKU03595,9,7430.76,825.64,0
2025-01-05,ST06,SKU04041,13,14917.89,1147.53,0
2025-01-05,ST08,SKU01136,0,0.0,472.9,0
2025-01-05,ST08,SKU03387,6,12530.1,2088.35,0
2025-01-05,ST09,SKU00573,9,7252.74,805.86,0
2025-01-05,ST09,SKU04265,8,8989.36,1123.67,0
2025-01-05,ST11,SKU04770,20,26093.2,1304.66,0
2025-01-05,ST12,SKU02195,35,22744.4,649.84,0
2025-01-05,ST15,SKU03282,5,9772.4,1954.48,0
2025-01-05,ST15,SKU03484,7,15326.01,2189.43,0
2025-01-05,ST16,SKU01044,19,22578.27,1188.33,0
2025-01-05,ST17,SKU02763,10,8578.8,857.88,0
2025-01-05,ST18,SKU04533,5,10729.85,2145.97,0
2025-01-05,ST19,SKU00912,17,40495.19,2382.07,0
2025-01-05,ST19,SKU02966,20,16184.2,809.21,0
2025-01-05,ST21,SKU01330,19,44319.78,2332.62,1
2025-01-05,ST22,SKU01060,12,18104.64,1508.72,0
2025-01-05,ST23,SKU03489,16,35900.16,2243.76,0
2025-01-05,ST24,SKU00722,18,42654.78,2369.71,0
