store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
ST11,SKU02558,333,72,22,2025-06-23
ST21,SKU01031,236,67,14,2025-06-17
ST26,SKU02129,496,96,34,2025-07-10
ST19,SKU02907,109,34,13,2025-08-17
ST05,SKU01023,333,97,22,2025-07-12
ST08,SKU04475,345,90,29,2025-05-07
ST01,SKU01318,92,24,9,2025-06-29
ST13,SKU00389,212,49,15,2025-08-16
ST25,SKU01675,289,77,32,2025-08-26
ST06,SKU01396,251,57,12,2025-08-08
ST07,SKU04250,348,79,27,2025-05-10
ST22,SKU03592,468,79,38,2025-08-29
ST01,SKU00500,0,54,24,2025-10-08
ST20,SKU02728,124,41,18,2025-05-20
ST08,SKU03428,84,21,5,2025-06-19
ST11,SKU04894,488,93,22,2025-05-26
ST16,SKU01037,0,92,38,2025-09-03
ST21,SKU01152,0,76,32,2025-10-02
ST28,SKU02094,291,62,16,2025-06-01
ST26,SKU04236,377,85,24,2025-06-16
ST19,SKU01042,165,29,12,2025-08-27
ST15,SKU01337,308,60,19,2025-07-20
ST08,SKU02381,0,36,15,2025-09-05
ST09,SKU01034,297,50,17,2025-07-31
ST07,SKU00170,311,70,33,2025-08-12
ST19,SKU01981,95,30,13,2025-08-21
ST15,SKU04491,81,25,10,2025-07-18
ST25,SKU00978,129,22,5,2025-05-31
ST27,SKU03562,270,79,38,2025-06-26
ST25,SKU00749,139,27,10,2025-07-15
ST14,SKU00331,317,59,15,2025-08-15
ST24,SKU03493,318,58,22,2025-07-11
ST22,SKU04652,111,21,9,2025-06-20
ST03,SKU02387,292,77,37,2025-08-09
ST08,SKU04717,202,56,16,2025-05-29
ST08,SKU00516,297,94,29,2025-08-20
ST01,SKU03546,0,42,18,2025-08-24
ST13,SKU00631,528,100,48,2025-06-21
ST12,SKU03375,379,92,45,2025-05-31
ST24,SKU02217,233,59,21,2025-07-22
ST08,SKU01684,142,40,11,2025-06-01
ST01,SKU02728,148,40,10,2025-07-02
ST04,SKU04194,446,92,19,2025-08-07
ST11,SKU00935,224,58,27,2025-06-15
ST28,SKU04551,0,80,39,2025-09-05
ST21,SKU03609,508,97,41,2025-06-03
ST23,SKU02221,152,35,15,2025-08-13
ST09,SKU02094,239,65,25,2025-07-22
ST28,SKU00350,96,31,14,2025-07-31
ST03,SKU02279,435,78,24,2025-07-14
ST18,SKU03311,412,80,28,2025-05-09
ST25,SKU02038,69,22,5,2025-05-26
ST30,SKU00167,195,56,24,2025-05-07
ST09,SKU03491,125,22,10,2025-06-25
ST23,SKU01174,468,83,19,2025-07-02
ST28,SKU03504,280,89,24,2025-08-07
ST11,SKU01874,488,85,36,2025-07-20
ST24,SKU02567,361,65,16,2025-08-25
ST15,SKU02747,0,100,30,2025-10-06
ST15,SKU00532,113,33,7,2025-05-10
ST27,SKU01818,158,41,13,2025-05-16
ST25,SKU00991,189,46,23,2025-08-16
ST06,SKU04913,0,26,9,2025-08-29
ST04,SKU04315,0,76,24,2025-10-08
ST28,SKU04443,111,22,11,2025-08-16
ST26,SKU00169,0,23,9,2025-08-10
ST12,SKU02449,0,79,18,2025-10-02
ST10,SKU03837,299,50,24,2025-07-08
ST05,SKU03493,319,68,27,2025-05-31
ST22,SKU04894,113,33,13,2025-08-26
ST13,SKU03088,0,97,40,2025-08-14
ST30,SKU02503,0,21,6,2025-10-10
ST30,SKU04489,0,74,37,2025-08-22
ST25,SKU04145,249,48,21,2025-05-20
ST16,SKU04554,165,51,13,2025-05-25
ST06,SKU01880,95,29,10,2025-06-11
ST06,SKU01651,103,20,4,2025-05-15
ST07,SKU02519,259,45,9,2025-07-01
ST26,SKU01337,98,21,8,2025-05-07
ST07,SKU04505,128,29,9,2025-07-29
ST15,SKU04854,147,45,14,2025-07-22
ST27,SKU01939,299,55,24,2025-08-31
ST20,SKU02983,0,77,25,2025-09-05
ST18,SKU00170,178,35,14,2025-05-24
ST04,SKU02221,279,59,25,2025-08-31
ST09,SKU00350,261,47,19,2025-06-30
ST21,SKU03622,0,47,15,2025-10-08
ST12,SKU00355,342,87,30,2025-08-31
ST03,SKU00535,112,24,8,2025-08-21
ST15,SKU03807,234,41,12,2025-07-12
ST13,SKU00994,0,73,15,2025-08-09
ST04,SKU01174,288,57,13,2025-05-25
ST09,SKU03504,382,70,15,2025-07-18
ST21,SKU00589,292,58,17,2025-05-28
ST05,SKU02567,298,76,28,2025-08-17
ST24,SKU02580,235,57,22,2025-06-22
ST22,SKU03968,196,51,14,2025-06-24
ST06,SKU00954,197,43,13,2025-08-20
ST23,SKU02355,0,40,19,2025-08-13
ST26,SKU04612,396,95,32,2025-08-16
ST19,SKU03633,0,81,27,2025-08-26
ST02,SKU03235,310,52,21,2025-08-14
ST24,SKU01762,290,55,24,2025-06-20
ST22,SKU03150,191,44,13,2025-08-30
ST22,SKU00935,344,59,19,2025-06-12
ST25,SKU02401,0,21,6,2025-10-01
ST27,SKU02999,148,34,13,2025-05-18
ST20,SKU02057,421,74,36,2025-08-18
ST25,SKU00186,207,39,10,2025-06-07
ST23,SKU03523,94,31,15,2025-06-01
ST14,SKU01754,310,56,23,2025-07-02
ST07,SKU04747,311,54,26,2025-07-17
ST07,SKU00546,318,58,22,2025-06-20
ST07,SKU00317,154,43,17,2025-05-30
ST29,SKU00830,0,21,9,2025-09-04
ST22,SKU01874,156,31,11,2025-07-13
ST01,SKU02983,0,70,31,2025-10-08
ST06,SKU01075,311,52,21,2025-07-04
ST16,SKU03520,445,96,40,2025-07-11
ST21,SKU01649,299,79,29,2025-05-12
ST26,SKU02747,0,26,8,2025-08-11
ST26,SKU00532,230,40,19,2025-08-16
ST07,SKU01485,0,55,27,2025-09-29
ST05,SKU03627,327,77,17,2025-07-11
ST19,SKU01310,448,77,22,2025-05-24
ST02,SKU04753,140,36,8,2025-08-09
ST19,SKU04693,290,93,25,2025-07-01
ST22,SKU02224,154,37,8,2025-06-07
ST24,SKU02822,386,91,25,2025-06-18
ST17,SKU01880,569,100,43,2025-08-13
ST30,SKU03805,124,21,5,2025-08-09
ST04,SKU02584,260,57,25,2025-08-25
ST04,SKU02355,0,48,17,2025-10-10
ST26,SKU04854,450,86,32,2025-05-27
ST12,SKU04919,376,65,14,2025-07-14
ST26,SKU02639,113,33,11,2025-05-31
ST29,SKU04334,242,55,23,2025-08-14
ST12,SKU04690,365,64,22,2025-05-16
ST29,SKU04105,0,83,32,2025-09-23
ST01,SKU02057,356,67,19,2025-07-03
ST06,SKU04350,0,92,26,2025-09-07
ST04,SKU03523,341,77,20,2025-07-10
ST11,SKU00264,0,31,7,2025-08-10
ST21,SKU02938,369,83,27,2025-07-05
ST07,SKU00788,390,84,38,2025-07-21
ST26,SKU03807,147,41,19,2025-08-07
ST05,SKU02930,0,23,8,2025-10-12
ST26,SKU01592,384,71,26,2025-07-10
ST10,SKU00830,0,87,23,2025-08-31
ST03,SKU04052,350,76,29,2025-05-24
ST27,SKU04409,414,76,27,2025-05-13
ST29,SKU03058,341,75,28,2025-07-02
ST23,SKU02718,310,80,31,2025-08-05
ST21,SKU04106,210,37,18,2025-05-31
ST16,SKU01547,0,79,26,2025-10-06
ST26,SKU00774,0,84,30,2025-09-27
ST17,SKU00954,232,66,23,2025-07-22
ST22,SKU03284,426,73,25,2025-05-14
ST03,SKU03005,319,57,26,2025-07-14
ST08,SKU03349,81,23,6,2025-08-10
ST03,SKU02776,0,24,12,2025-10-09
ST15,SKU04062,367,67,18,2025-05-15
ST11,SKU00385,186,55,26,2025-08-24
ST16,SKU00500,0,22,7,2025-09-03
ST02,SKU02780,330,73,16,2025-08-13
ST19,SKU00734,119,23,9,2025-06-15
ST29,SKU03179,154,27,13,2025-07-08
ST25,SKU01717,126,29,12,2025-08-09
ST18,SKU00546,130,32,8,2025-08-30
ST14,SKU01070,342,77,23,2025-05-18
ST10,SKU04334,74,20,4,2025-07-25
ST15,SKU04412,249,55,27,2025-06-14
ST13,SKU01370,0,22,6,2025-09-14
ST27,SKU03254,303,73,33,2025-05-06
ST11,SKU00506,0,62,14,2025-09-06
ST23,SKU01792,511,100,21,2025-07-23
ST21,SKU00965,123,35,16,2025-08-26
ST02,SKU04887,566,95,32,2025-06-25
ST08,SKU04409,316,69,25,2025-06-07
ST11,SKU01674,437,84,33,2025-05-23
ST21,SKU04348,0,74,18,2025-09-09
ST04,SKU02718,248,44,15,2025-08-02
ST14,SKU01191,295,82,20,2025-06-17
ST09,SKU02833,0,82,22,2025-08-06
ST23,SKU00516,461,81,34,2025-05-08
ST02,SKU03840,0,49,19,2025-09-08
ST02,SKU01854,437,80,19,2025-06-10
ST28,SKU00860,129,34,12,2025-06-14
ST29,SKU02482,0,98,23,2025-09-10
ST29,SKU04468,244,79,28,2025-08-25
ST03,SKU01032,268,63,20,2025-05-24
ST20,SKU02662,390,87,19,2025-06-21
