date,store_id,sku_id,units_sold,revenue,unit_price,promo_flag
2025-01-01,ST01,SKU001327,3,852.66,284.22,0
2025-01-01,ST01,SKU002239,5,7669.7,1533.94,0
2025-01-01,ST03,SKU000898,10,3869.6,386.96,0
2025-01-01,ST03,SKU002904,2,3180.18,1590.09,0
2025-01-01,ST04,SKU001443,10,16263.2,1626.32,1
2025-01-01,ST04,SKU003070,4,3734.2,933.55,0
2025-01-01,ST07,SKU000384,8,4778.56,597.32,0
2025-01-01,ST07,SKU002508,2,4108.88,2054.44,0
2025-01-01,ST09,SKU003438,9,22435.11,2492.79,0
2025-01-01,ST10,SKU003832,18,9558.9,531.05,0
2025-01-01,ST10,SKU004026,5,412.5,82.5,0
2025-01-01,ST13,SKU002007,16,12462.08,778.88,0
2025-01-01,ST13,SKU003458,7,5008.85,715.55,0
2025-01-01,ST14,SKU001219,12,15851.76,1320.98,0
2025-01-01,ST16,SKU001987,5,9106.2,1821.24,0
2025-01-01,ST18,SKU000638,19,2617.44,137.76,0
2025-01-01,ST19,SKU001742,3,703.38,234.46,0
2025-01-01,ST19,SKU004497,11,24232.45,2202.95,0
2025-01-01,ST20,SKU000139,4,9459.72,2364.93,0
2025-01-01,ST20,SKU003175,17,19452.42,1144.26,0
2025-01-01,ST21,SKU002583,6,14967.18,2494.53,0
2025-01-01,ST21,SKU003536,11,18494.19,1681.29,0
2025-01-01,ST21,SKU003904,0,0.0,173.96,0
2025-01-01,ST22,SKU000194,11,25822.83,2347.53,0
2025-01-01,ST24,SKU001708,16,7238.24,452.39,0
2025-01-01,ST26,SKU004546,29,41777.4,1440.6,0
2025-01-01,ST27,SKU003607,5,11744.25,2348.85,0
2025-01-01,ST29,SKU003080,26,62487.62,2403.37,0
2025-01-01,ST30,SKU001021,13,21179.86,1629.22,1
2025-01-01,ST30,SKU004613,6,4348.56,724.76,1
2025-01-02,ST01,SKU000036,8,8076.48,1009.56,0
2025-01-02,ST01,SKU003083,12,5349.12,445.76,0
2025-01-02,ST01,SKU004866,10,23068.7,2306.87,0
2025-01-02,ST02,SKU001619,11,13016.85,1183.35,0
2025-01-02,ST02,SKU003834,23,5033.78,218.86,0
2025-01-02,ST02,SKU004300,7,15147.37,2163.91,0
2025-01-02,ST02,SKU004428,15,13196.7,879.78,1
2025-01-02,ST02,SKU004548,43,80155.01,1864.07,1
2025-01-02,ST03,SKU001327,3,852.66,284.22,0
2025-01-02,ST03,SKU001508,0,0.0,732.94,1
2025-01-02,ST03,SKU004949,28,40790.96,1456.82,0
2025-01-02,ST04,SKU000747,13,11972.87,920.99,0
2025-01-02,ST04,SKU003832,9,4779.45,531.05,0
2025-01-02,ST05,SKU001202,4,5765.8,1441.45,0
2025-01-02,ST06,SKU003558,17,17962.03,1056.59,1
2025-01-02,ST07,SKU003091,5,5123.8,1024.76,1
2025-01-02,ST07,SKU004846,3,5420.43,1806.81,1
2025-01-02,ST10,SKU003292,15,36680.4,2445.36,0
2025-01-02,ST10,SKU004419,35,71411.2,2040.32,0
2025-01-02,ST11,SKU000531,2,4735.8,2367.9,0
2025-01-02,ST11,SKU002683,11,12654.51,1150.41,0
2025-01-02,ST12,SKU000299,5,2710.4,542.08,0
2025-01-02,ST12,SKU002317,9,21790.53,2421.17,0
2025-01-02,ST13,SKU004252,18,9784.8,543.6,0
2025-01-02,ST14,SKU004259,10,14379.2,1437.92,1
2025-01-02,ST15,SKU004086,9,6986.61,776.29,0
2025-01-02,ST17,SKU004157,8,10177.12,1272.14,0
2025-01-02,ST20,SKU000773,28,59489.36,2124.62,0
2025-01-02,ST20,SKU004870,7,13795.74,1970.82,0
2025-01-02,ST21,SKU001112,6,643.44,107.24,0
2025-01-02,ST23,SKU000599,4,2317.48,579.37,0
2025-01-02,ST23,SKU002951,26,29144.44,1120.94,0
2025-01-02,ST26,SKU001434,18,21199.5,1177.75,1
2025-01-02,ST26,SKU002020,16,2587.04,161.69,0
2025-01-02,ST28,SKU003754,1,1237.62,1237.62,0
2025-01-02,ST30,SKU001009,13,14663.61,1127.97,0
2025-01-02,ST30,SKU004549,7,1392.3,198.9,1
2025-01-02,ST30,SKU004964,25,42171.25,1686.85,0
2025-01-03,ST01,SKU003025,4,1923.92,480.98,0
2025-01-03,ST03,SKU003748,16,14009.92,875.62,0
2025-01-03,ST04,SKU001909,8,7710.0,963.75,1
2025-01-03,ST06,SKU002903,7,447.3,63.9,0
2025-01-03,ST06,SKU003336,6,12183.0,2030.5,0
2025-01-03,ST06,SKU003894,3,5573.13,1857.71,0
2025-01-03,ST09,SKU003845,6,13500.3,2250.05,0
2025-01-03,ST11,SKU000908,7,16521.4,2360.2,0
2025-01-03,ST11,SKU002148,3,6571.14,2190.38,0
2025-01-03,ST12,SKU001762,26,60243.82,2317.07,0
2025-01-03,ST14,SKU002086,12,15753.72,1312.81,1
2025-01-03,ST16,SKU004603,7,10072.65,1438.95,1
2025-01-03,ST17,SKU001440,3,1812.42,604.14,0
2025-01-03,ST17,SKU002064,2,1551.18,775.59,0
2025-01-03,ST18,SKU004795,11,5504.95,500.45,0
2025-01-03,ST20,SKU001139,8,7569.12,946.14,0
2025-01-03,ST22,SKU004728,10,15606.6,1560.66,0
2025-01-03,ST23,SKU004480,21,52230.78,2487.18,1
2025-01-03,ST24,SKU002719,0,0.0,145.52,0
2025-01-03,ST25,SKU001023,16,39782.08,2486.38,0
2025-01-03,ST25,SKU001099,11,13319.57,1210.87,0
2025-01-03,ST25,SKU003037,5,6871.9,1374.38,0
2025-01-03,ST26,SKU002642,17,7631.47,448.91,0
2025-01-03,ST26,SKU003274,5,4200.05,840.01,0
2025-01-03,ST26,SKU003287,6,13013.82,2168.97,0
2025-01-03,ST26,SKU003388,10,2911.7,291.17,1
2025-01-03,ST27,SKU003025,4,1923.92,480.98,0
2025-01-03,ST27,SKU003335,8,14000.96,1750.12,0
2025-01-03,ST28,SKU003168,10,18526.1,1852.61,1
2025-01-03,ST30,SKU002384,9,16785.9,1865.1,0
2025-01-03,ST30,SKU003724,17,30185.54,1775.62,0
2025-01-04,ST04,SKU004227,16,4889.6,305.6,1
2025-01-04,ST04,SKU004961,7,16741.9,2391.7,0
