sku_id,flag,affected_stores,window_start,window_end,notes
SKU04321,STOCKOUT_RISK,ST22;ST26;ST23;ST15;ST12;ST28;ST01;ST27;ST08;ST21;ST24;ST07;ST30;ST20,2025-11-06,2025-12-03,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04596,STOCKOUT_RISK,ST12;ST09;ST21;ST23;ST07;ST24;ST01;ST28;ST14;ST13;ST29;ST10;ST30,2025-10-25,2025-11-06,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03727,STOCKOUT_RISK,ST19;ST14;ST28;ST29;ST02;ST07;ST17;ST08;ST05;ST16,2025-11-08,2025-11-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04154,STOCKOUT_RISK,ST15;ST03;ST30;ST09;ST24;ST19;ST28;ST02;ST07;ST14;ST17,2025-11-12,2025-11-26,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00953,STOCKOUT_RISK,ST09;ST19;ST27;ST20;ST01;ST03;ST11;ST10;ST22;ST26;ST30;ST13;ST21;ST23;ST15,2025-11-29,2025-12-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00190,STOCKOUT_RISK,ST12;ST25;ST21;ST26;ST11;ST19;ST28;ST02;ST15;ST03;ST13;ST18;ST08;ST22;ST20;ST24;ST30,2025-11-14,2025-12-03,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02141,STOCKOUT_RISK,ST09;ST21;ST06;ST16;ST07;ST30;ST27;ST10;ST11;ST12;ST05;ST22;ST18;ST29;ST28;ST14,2025-12-05,2025-12-30,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00994,STOCKOUT_RISK,ST18;ST04;ST29;ST30;ST11;ST26;ST07;ST15;ST14;ST20;ST10;ST22;ST13;ST05;ST24;ST19,2025-12-17,2025-12-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03292,STOCKOUT_RISK,ST09;ST06;ST15;ST27;ST25;ST01;ST11;ST30;ST04;ST26;ST14;ST18;ST17;ST24,2025-10-22,2025-11-10,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01775,STOCKOUT_RISK,ST17;ST15;ST08;ST27;ST16;ST05;ST12;ST20;ST03;ST01;ST21;ST26;ST25;ST30;ST02;ST29;ST04,2025-10-27,2025-11-07,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04571,STOCKOUT_RISK,ST21;ST27;ST19;ST18;ST08;ST25;ST22;ST12;ST13;ST29;ST16;ST10;ST02;ST28;ST11;ST30,2025-10-28,2025-11-10,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00942,STOCKOUT_RISK,ST06;ST21;ST03;ST05;ST30;ST27;ST22;ST10;ST24,2025-11-28,2025-12-21,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02858,STOCKOUT_RISK,ST10;ST18;ST21;ST27;ST04;ST15;ST12;ST01;ST24,2025-11-02,2025-11-22,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01371,STOCKOUT_RISK,ST24;ST20;ST05;ST19;ST08;ST16;ST12;ST09;ST14;ST27;ST22;ST06;ST23;ST17,2025-11-27,2025-12-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01420,STOCKOUT_RISK,ST15;ST16;ST10;ST05;ST13;ST12;ST29;ST20;ST02;ST25;ST06;ST14,2025-11-09,2025-12-02,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00079,STOCKOUT_RISK,ST11;ST17;ST01;ST24;ST26;ST22;ST23;ST14;ST04;ST19;ST29,2025-10-21,2025-11-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01045,STOCKOUT_RISK,ST29;ST09;ST07;ST03;ST10;ST20;ST26;ST11;ST08;ST14;ST28;ST05,2025-11-26,2025-12-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00285,STOCKOUT_RISK,ST01;ST10;ST30;ST06;ST26;ST15;ST16;ST03;ST02;ST20;ST18;ST08;ST09;ST19,2025-10-29,2025-11-12,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02930,STOCKOUT_RISK,ST19;ST27;ST16;ST09;ST20;ST21;ST30;ST22;ST24;ST13;ST25;ST11;ST26;ST05;ST12,2025-12-04,2025-12-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03088,STOCKOUT_RISK,ST08;ST04;ST21;ST03;ST25;ST15;ST07;ST11;ST12;ST30;ST23;ST09;ST28,2025-10-30,2025-11-21,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00286,STOCKOUT_RISK,ST16;ST30;ST02;ST21;ST23;ST05;ST28;ST01;ST27;ST15,2025-12-10,2025-12-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02954,STOCKOUT_RISK,ST13;ST10;ST28;ST19;ST17;ST27;ST22;ST06;ST15;ST24;ST18;ST20;ST04;ST23;ST02,2025-10-19,2025-11-17,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04381,STOCKOUT_RISK,ST28;ST08;ST04;ST29;ST11;ST25;ST18;ST21;ST05;ST23;ST13;ST24;ST14;ST03;ST10,2025-11-27,2025-12-07,Top-selling SKU (by observed volume); injected recent stockout window.
