sku_id,store_id,inventory_status,replenishment_priority,stock_on_hand,forecast_total_demand,recommended_order_quantity,stockout_risk_flag,overstock_risk_flag,estimated_replenishment_cost
SKU00825,ST01,REORDER,HIGH,33.0,22.43516666666667,36,1,0,1967.76
SKU01086,ST01,CRITICAL,HIGH,32.0,15.959333333333332,59,1,0,5389.06
SKU02469,ST04,REORDER,HIGH,45.0,17.845985714285717,14,1,0,13524.14
SKU02921,ST04,REORDER,HIGH,36.0,47.47608095238097,39,1,0,7326.15
SKU04900,ST04,CRITICAL,HIGH,5.0,12.0318,71,1,0,68272.18000000001
SKU00926,ST07,CRITICAL,HIGH,23.0,39.61149206349208,56,1,0,11454.8
SKU03821,ST07,REORDER,HIGH,40.0,11.986857142857144,35,1,0,3065.65
SKU04309,ST08,CRITICAL,HIGH,11.0,4.009666666666667,55,1,0,3916.55
SKU02593,ST10,CRITICAL,HIGH,10.0,13.018238095238091,34,1,0,14288.16
SKU02580,ST11,REORDER,HIGH,59.0,10.852933333333334,30,1,0,8918.4
SKU03563,ST11,CRITICAL,HIGH,13.0,2.987,55,1,0,26315.3
SKU01506,ST12,REORDER,HIGH,72.0,24.394066666666664,19,1,0,2002.79
SKU01885,ST12,REORDER,HIGH,31.0,7.014666666666667,7,1,0,1214.57
SKU03597,ST12,REORDER,HIGH,22.0,16.048700000000004,1,1,0,260.31
SKU04680,ST13,REORDER,HIGH,22.0,9.023428571428571,30,1,0,2375.7
SKU00714,ST14,REORDER,HIGH,23.0,13.8555,5,1,0,6525.85
SKU02649,ST15,CRITICAL,HIGH,2.0,2.008,67,1,0,66226.82
SKU02863,ST15,REORDER,HIGH,75.0,0.0,5,1,0,415.65
SKU02606,ST16,REORDER,HIGH,19.0,17.098980952380956,11,1,0,10001.2
SKU01718,ST17,REORDER,HIGH,35.0,31.424271428571416,28,1,0,35447.16
SKU02488,ST17,CRITICAL,HIGH,18.0,49.35130476190475,61,1,0,147587.06
SKU03940,ST18,REORDER,HIGH,33.0,6.280399999999999,9,1,0,1243.08
SKU00338,ST19,CRITICAL,HIGH,1.0,3.023,27,1,0,12901.41
SKU01617,ST19,REORDER,HIGH,70.0,8.996533333333334,23,1,0,2880.98
SKU02433,ST19,REORDER,HIGH,24.0,18.088438095238097,22,1,0,1537.36
SKU04632,ST21,CRITICAL,HIGH,25.0,7.009333333333334,47,1,0,31282.730000000003
SKU01590,ST22,REORDER,HIGH,47.0,49.5326619047619,7,1,0,451.15
SKU02265,ST22,REORDER,HIGH,41.0,6.993333333333334,19,1,0,9852.64
SKU03955,ST22,REORDER,HIGH,34.0,4.656557142857142,3,1,0,861.27
SKU00623,ST23,REORDER,HIGH,27.0,9.125,3,1,0,620.4300000000001
SKU00076,ST24,REORDER,HIGH,33.0,16.971,2,1,0,440.84
SKU03943,ST25,REORDER,HIGH,38.0,3.007,48,1,0,5986.08
SKU04334,ST28,REORDER,HIGH,33.0,0.0,6,1,0,1336.62
SKU04314,ST29,REORDER,HIGH,61.0,24.84933968253968,13,1,0,5593.25
SKU02121,ST30,CRITICAL,HIGH,31.0,28.028071428571423,52,1,0,6670.56
SKU02258,ST30,REORDER,HIGH,55.0,35.656261904761905,32,1,0,55140.48
SKU00001,ST01,STOCKOUT,URGENT,0.0,27.741828571428574,28,1,0,17353.559999999998
SKU00196,ST01,STOCKOUT,URGENT,0.0,11.033704761904762,12,1,0,715.8
SKU00228,ST01,STOCKOUT,URGENT,0.0,6.998800000000001,7,1,0,13793.29
SKU00246,ST01,STOCKOUT,URGENT,0.0,18.19242380952381,19,1,0,14823.419999999998
